Name,Type,Socket,TDP,Price,Compatible
# === СТАРЫЕ ВИДЕОКАРТЫ (PCIe x16 2.0, 3.0) ===
NVIDIA GeForce 8800 GT,GPU,PCIe x16,105,2000,1
NVIDIA GeForce GTX 260,GPU,PCIe x16,182,2500,1
NVIDIA GeForce GTX 460,GPU,PCIe x16,160,3000,1
NVIDIA GeForce GTX 560 Ti,GPU,PCIe x16,170,4000,1
NVIDIA GeForce GTX 660,GPU,PCIe x16,140,4500,1
NVIDIA GeForce GTX 760,GPU,PCIe x16,170,5000,1
NVIDIA GeForce GTX 960,GPU,PCIe x16,120,6000,1
NVIDIA GeForce GTX 970,GPU,PCIe x16,148,8000,1
NVIDIA GeForce GTX 980,GPU,PCIe x16,165,12000,0
NVIDIA GeForce GTX 1050 Ti,GPU,PCIe x16,75,7000,1
NVIDIA GeForce GTX 1060,GPU,PCIe x16,120,9000,1
NVIDIA GeForce GTX 1070,GPU,PCIe x16,150,15000,0
NVIDIA GeForce GTX 1080,GPU,PCIe x16,180,20000,0
AMD Radeon HD 5770,GPU,PCIe x16,108,2500,1
AMD Radeon HD 6950,GPU,PCIe x16,200,3500,1
AMD Radeon R9 270X,GPU,PCIe x16,180,5000,1
AMD Radeon R9 380,GPU,PCIe x16,190,7000,1
AMD Radeon R9 390,GPU,PCIe x16,275,10000,0
AMD Radeon RX 460,GPU,PCIe x16,75,6000,1
AMD Radeon RX 470,GPU,PCIe x16,120,8000,1
AMD Radeon RX 480,GPU,PCIe x16,150,10000,1

# === СОВРЕМЕННЫЕ ВИДЕОКАРТЫ ===
NVIDIA GeForce RTX 2060,GPU,PCIe x16,160,20000,1
NVIDIA GeForce RTX 2070,GPU,PCIe x16,175,25000,0
NVIDIA GeForce RTX 3060,GPU,PCIe x16,170,31000,1
NVIDIA GeForce RTX 4060,GPU,PCIe x16,115,34000,1
NVIDIA GeForce RTX 4070,GPU,PCIe x16,200,65000,0
NVIDIA GeForce RTX 4080,GPU,PCIe x16,320,95000,0
NVIDIA GeForce RTX 4090,GPU,PCIe x16,450,150000,0
AMD Radeon RX 6600,GPU,PCIe x16,132,26000,1
AMD Radeon RX 6700 XT,GPU,PCIe x16,230,38000,0
AMD Radeon RX 7800 XT,GPU,PCIe x16,263,56000,0
AMD Radeon RX 7900 XTX,GPU,PCIe x16,355,100000,0

# === ВИНТАЖНАЯ ОПЕРАТИВНАЯ ПАМЯТЬ (DDR2) ===
Kingston ValueRAM DDR2 1GB,RAM,DDR2,3,500,1
Kingston ValueRAM DDR2 2GB,RAM,DDR2,4,800,1
Corsair XMS2 DDR2 2GB,RAM,DDR2,4,900,1
Corsair XMS2 DDR2 4GB,RAM,DDR2,6,1500,1
G.Skill DDR2 2GB,RAM,DDR2,4,700,1
G.Skill DDR2 4GB,RAM,DDR2,6,1400,1
OCZ Platinum DDR2 2GB,RAM,DDR2,4,1000,1

# === СТАРАЯ ОПЕРАТИВНАЯ ПАМЯТЬ (DDR3) ===
Kingston ValueRAM DDR3 2GB,RAM,DDR3,3,800,1
Kingston ValueRAM DDR3 4GB,RAM,DDR3,4,1200,1
Kingston Fury DDR3 8GB,RAM,DDR3,4,2000,1
Kingston Fury DDR3 16GB,RAM,DDR3,6,3500,1
Corsair Vengeance DDR3 4GB,RAM,DDR3,4,1500,1
Corsair Vengeance DDR3 8GB,RAM,DDR3,4,2200,1
Corsair Vengeance DDR3 16GB,RAM,DDR3,6,3800,1
G.Skill Ripjaws DDR3 8GB,RAM,DDR3,4,2300,1
G.Skill Ripjaws DDR3 16GB,RAM,DDR3,6,4000,1
Crucial Ballistix DDR3 8GB,RAM,DDR3,4,2100,1
Patriot Viper DDR3 8GB,RAM,DDR3,4,2400,1

# === СОВРЕМЕННАЯ ОПЕРАТИВНАЯ ПАМЯТЬ (DDR4, DDR5) ===
Kingston Fury DDR4 8GB,RAM,DDR4,5,5000,1
Kingston Fury DDR4 16GB,RAM,DDR4,5,8000,1
Corsair Vengeance DDR4 16GB,RAM,DDR4,5,8500,1
Corsair Vengeance DDR4 32GB,RAM,DDR4,10,15000,1
G.Skill Trident Z DDR4 16GB,RAM,DDR4,5,9000,1
G.Skill Trident Z DDR4 32GB,RAM,DDR4,10,16000,1
Kingston Fury DDR5 16GB,RAM,DDR5,6,10000,1
Corsair Vengeance DDR5 16GB,RAM,DDR5,6,11000,1
Corsair Vengeance DDR5 32GB,RAM,DDR5,10,18000,1
G.Skill Trident Z DDR5 32GB,RAM,DDR5,10,19000,1

# === ВИНТАЖНЫЕ МАТЕРИНСКИЕ ПЛАТЫ ===
ASUS P5K,MB,Socket 775,0,1000,1
GIGABYTE GA-P35,MB,Socket 775,0,1200,1
MSI P45 Platinum,MB,Socket 775,0,1500,1
ASUS M2N,MB,AM2,0,800,1
GIGABYTE GA-MA770,MB,AM3,0,1000,1
ASUS M4A78,MB,AM3,0,1500,1

# === СТАРЫЕ МАТЕРИНСКИЕ ПЛАТЫ ===
ASUS P7H55,MB,LGA1156,0,2000,1
GIGABYTE GA-P55,MB,LGA1156,0,2500,1
ASUS P8P67,MB,LGA1155,0,3000,1
ASRock Z68,MB,LGA1155,0,3500,1
ASUS P8Z77-V,MB,LGA1155,0,5000,1
GIGABYTE GA-Z77,MB,LGA1155,0,4500,1
ASUS Z97-A,MB,LGA1150,0,6000,1
GIGABYTE GA-Z97,MB,LGA1150,0,5500,1
ASUS MAXIMUS VII,MB,LGA1150,0,8000,0
ASUS Z170-P,MB,LGA1151,0,7000,1
GIGABYTE GA-Z170,MB,LGA1151,0,6500,1
ASUS Z270,MB,LGA1151,0,8000,1
ASUS ROG MAXIMUS IX,MB,LGA1151,0,12000,0
ASUS PRIME B450M,MB,AM4,0,6000,1
GIGABYTE B450M,MB,AM4,0,5500,1
MSI B450 TOMAHAWK,MB,AM4,0,8000,1

# === СОВРЕМЕННЫЕ МАТЕРИНСКИЕ ПЛАТЫ ===
MSI PRO H610M-B,MB,LGA1700,0,7500,1
GIGABYTE B660M DS3H,MB,LGA1700,0,10500,1
ASUS PRIME Z790-P,MB,LGA1700,0,21000,0
ASUS ROG STRIX Z790,MB,LGA1700,0,35000,0
MSI MAG B550 TOMAHAWK,MB,AM4,0,14000,1
ASUS TUF GAMING B550-PLUS,MB,AM4,0,13500,1
GIGABYTE X570S UD,MB,AM4,0,18000,0
MSI PRO B650-P,MB,AM5,0,19000,0
ASUS ROG STRIX X670E-F,MB,AM5,0,41000,0

# === ВИНТАЖНЫЕ КУЛЕРЫ ===
Intel Stock Cooler 775,COOLER,Universal,80,300,1
AMD Stock Cooler AM2,COOLER,Universal,80,300,1
Zalman CNPS9700,COOLER,Universal,120,1000,1
Cooler Master Hyper 212,COOLER,Universal,180,1500,1

# === СТАРЫЕ КУЛЕРЫ ===
Deepcool GAMMAXX 300,COOLER,Universal,150,1500,1
Thermalright True Spirit,COOLER,Universal,200,2000,1
Noctua NH-U12P,COOLER,Universal,200,3000,1
Cooler Master Hyper 212 EVO,COOLER,Universal,220,2500,1

# === СОВРЕМЕННЫЕ КУЛЕРЫ ===
Deepcool GAMMAXX 400 V2,COOLER,Universal,180,2000,1
ID-COOLING SE-224-XTS,COOLER,Universal,220,2500,1
Deepcool AK400,COOLER,Universal,220,3200,1
Deepcool AK620,COOLER,Universal,260,6500,1
Noctua NH-D15,COOLER,Universal,250,11000,0
be quiet! Dark Rock Pro 4,COOLER,Universal,250,9500,0
NZXT Kraken X53,COOLER,Universal,300,12000,1
Corsair H100i Elite,COOLER,Universal,320,15000,1

# === ВИНТАЖНЫЕ НАКОПИТЕЛИ ===
Samsung 40GB IDE,STORAGE,IDE,3,200,1
Seagate 80GB IDE,STORAGE,IDE,4,300,1
WD 160GB SATA,STORAGE,SATA,3,400,1
Samsung 250GB SATA,STORAGE,SATA,3,500,1

# === СТАРЫЕ НАКОПИТЕЛИ ===
Samsung 850 EVO 120GB,STORAGE,SATA,3,2000,1
Samsung 850 EVO 250GB,STORAGE,SATA,3,3000,1
Crucial BX500 240GB,STORAGE,SATA,3,2500,1
WD Blue 500GB SATA,STORAGE,SATA,3,3500,1
WD Blue 1TB SATA,STORAGE,SATA,4,4500,1

# === СОВРЕМЕННЫЕ НАКОПИТЕЛИ ===
Samsung 870 EVO 500GB,STORAGE,SATA,3,5000,1
Samsung 870 EVO 1TB,STORAGE,SATA,4,8000,1
Crucial MX500 500GB,STORAGE,SATA,3,4500,1
Western Digital Blue 500GB M.2,STORAGE,M.2 SATA,3,5500,1
Western Digital Blue 1TB M.2,STORAGE,M.2 SATA,4,9000,1
Samsung 980 PRO 500GB NVMe,STORAGE,M.2 NVMe,6,7000,1
Samsung 980 PRO 1TB NVMe,STORAGE,M.2 NVMe,8,12000,1
Samsung 990 PRO 1TB NVMe,STORAGE,M.2 NVMe,8,15000,1
WD Black SN850X 1TB NVMe,STORAGE,M.2 NVMe,8,13000,1
Crucial P5 Plus 1TB NVMe,STORAGE,M.2 NVMe,8,11000,1

# === ВИНТАЖНЫЕ БЛОКИ ПИТАНИЯ ===
Chieftec 300W,PSU,ATX,0,500,1
FSP 350W,PSU,ATX,0,600,1
Cooler Master 400W,PSU,ATX,0,800,1

# === СТАРЫЕ БЛОКИ ПИТАНИЯ ===
Corsair VS450,PSU,ATX,0,2500,1
Corsair CX500,PSU,ATX,0,3000,1
Cooler Master 500W,PSU,ATX,0,2800,1
Thermaltake 600W,PSU,ATX,0,3500,1

# === СОВРЕМЕННЫЕ БЛОКИ ПИТАНИЯ ===
Corsair CV550,PSU,ATX,0,4000,1
Deepcool PK550D,PSU,ATX,0,4500,1
Corsair RM650,PSU,ATX,0,8000,1
Deepcool DQ650,PSU,ATX,0,7500,1
be quiet! Pure Power 11 700W,PSU,ATX,0,9000,1
Corsair RM750,PSU,ATX,0,10000,1
Corsair RM850,PSU,ATX,0,12000,1
Seasonic Focus GX-850,PSU,ATX,0,13000,1
Corsair RM1000,PSU,ATX,0,18000,1
Seasonic Prime TX-1000,PSU,ATX,0,25000,1
